country,PopChange_2010-2030
Montenegro,104512.66961005272
Serbia,935130.3392231113
South Sudan,8628855.576286733
Sudan,2.834796508255452E7
Taiwan,3183262.9317271416
Cocos (Keeling) Islands,0.014454673730092597
Christmas Island,2069.455054242221
Ashmore and Cartier Islands,0.0
Faroe Islands,13636.893627884028
Mayotte,201505.07574204868
Réunion,182340.82260645198
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,1525.034426672647
French Southern and Antarctic Territories,0.0
Denmark,1477824.7741753177
The former Yugoslav Republic of Macedonia,204043.86113615712
Croatia,346632.40873057616
Malta,151922.30410063607
San Marino,4705.8048319361005
Slovenia,285535.4184505604
Greece,423758.45228361303
Italy,3766999.6294692247
Portugal,907349.7176341637
Spain,6817502.81979704
Bosnia and Herzegovina,413839.0417428833
Andorra,25402.495664233997
Albania,960952.413872964
Monaco,721.9848219861913
Netherlands,3153253.8393729054
Luxembourg,304585.1904622806
Liechtenstein,10693.583706276158
France,1.1527001256072223E7
Germany,1.1148461308795592E7
Switzerland,2115014.6111949882
Belgium,2009721.115491462
Austria,1808497.5753621731
Australia,1494827.5948355757
Palau,4702.54571842202
Canada,5296828.166438241
Canada,330388.2473710457
Canada,41835.24023614307
Mozambique,2.163349029994787E7
Mauritius,155476.99339131566
Malawi,1.2119774760990713E7
Rwanda,7796820.475753232
Somalia,1.1558960229110707E7
Zambia,1.188698148868398E7
Kenya,3.509523064158633E7
Madagascar,1.7553092464710057E7
Seychelles,18849.422075284678
United Republic of Tanzania,4.252390911684189E7
Uganda,3.1502749166737176E7
Zimbabwe,1.0146866512308631E7
Ethiopia,8.929557967705555E7
Eritrea,1706719.8228695157
Djibouti,418220.89341386815
Comoros,305884.4847917049
Burundi,8683743.44783275
Gabon,1133757.725647416
Equatorial Guinea,1312525.9126116452
Chad,1.1215474210291598E7
Sao Tome and Principe,82932.16713167056
Congo,3957112.0757941795
