country,Population2010
Montenegro,828914.4899349792
Serbia,1.315857544763665E7
South Sudan,9834222.38064297
Sudan,3.494589230724341E7
Taiwan,2.498390944490692E7
Cocos (Keeling) Islands,556.7911793665668
Christmas Island,2098.463309670301
Ashmore and Cartier Islands,0.0
Faroe Islands,98826.12406667073
Mayotte,219896.9722090438
Réunion,949740.4988280726
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,8266.17384727469
French Southern and Antarctic Territories,0.0
Denmark,9684749.193459032
The former Yugoslav Republic of Macedonia,2808024.9284883495
Croatia,6099212.998895304
Malta,512805.1029068352
San Marino,40398.17648877431
Slovenia,2945353.6423421795
Greece,1.3515089924606537E7
Italy,8.130610321432151E7
Portugal,1.3067093522114795E7
Spain,5.953760372369451E7
Bosnia and Herzegovina,5315012.547126593
Andorra,95104.85977181752
Albania,3861347.450627702
Monaco,12452.76894897862
Netherlands,2.685952466250833E7
Luxembourg,789145.8207982797
Liechtenstein,51376.10668984396
France,9.126494376322809E7
Germany,1.2890802041307059E8
Switzerland,1.1487155770280197E7
Belgium,1.722073038156061E7
Austria,1.2453742366396192E7
Australia,5218477.740875985
Palau,17259.485585516315
Canada,2.897856549576088E7
Canada,3108028.635334715
Canada,722281.9826136105
Mozambique,2.4331230241697244E7
Mauritius,1365736.7218823794
Malawi,1.522035904141052E7
Rwanda,1.031014151420495E7
Somalia,1.2100599253832899E7
Zambia,1.4179804480158076E7
Kenya,4.155991671231722E7
Madagascar,2.302112829346069E7
Seychelles,89796.51756991136
United Republic of Tanzania,4.530860650673979E7
Uganda,3.2437452772051774E7
Zimbabwe,1.3559016691818345E7
Ethiopia,9.049400875254169E7
Eritrea,3238780.0194279603
Djibouti,936648.509354662
Comoros,659582.8605109393
Burundi,9152062.591684345
Gabon,1702178.1266797434
Equatorial Guinea,1084712.8913008245
Chad,1.2062754556751346E7
Sao Tome and Principe,182929.2324303572
Congo,4405392.560314749
Democratic Republic of the Congo,6.672885911683253E7
Cameroon,1.9935018329713956E7
Central African Republic,4681371.6030512145
Angola,2.382902666776617E7
Morocco,3.880694239536597E7
Libya,7651289.14699713
Tunisia,1.3418035592103314E7
Egypt,1.003598154001508E8
Algeria,4.408369809775771E7
Namibia,2253264.6634207973
Swaziland,1228687.0170877734
Lesotho,2324101.5836403985
South Africa,5.895085668281425E7
Botswana,2270651.2861090684
Togo,6545128.193412975
Sierra Leone,6492358.664018789
Senegal,1.2925782897506129E7
Nigeria,1.630339623928673E8
Niger,1.7117381034317866E7
Mauritania,3564098.593769397
Mali,1.5972241243807154E7
Liberia,4046187.0299791885
Guinea-Bissau,1599563.474764615
Gambia,2014120.2807643597
Guinea,1.0436645265870498E7
Ghana,2.5861337990556657E7
Cape Verde,492129.46681234374
Côte d'Ivoire,2.12889352868342E7
Burkina Faso,1.6485914779777044E7
Benin,9514410.66230711
Brazil,2.0785410368666857E8
Turkmenistan,6777450.403520923
Uzbekistan,3.764228072942792E7
Tajikistan,9783535.134098226
Kyrgyzstan,7249168.890965256
Kazakhstan,2.463824559526251E7
Mongolia,4031028.839684188
Republic of Korea,5.9367631302846745E7
Dem People's Rep of Korea,3.154843569840685E7
China,1.6084528768759649E9
Myanmar,5.154630897443124E7
Cambodia,1.4623067364178214E7
Viet Nam,9.098283602022249E7
Lao People's Democratic Republic,6636743.5981697645
Malaysia,2.8335258922257606E7
Thailand,7.068345642700458E7
Brunei Darussalam,400266.16810926405
Philippines,9.367603888865858E7
Indonesia,2.4184807827856302E8
Singapore,5104717.877782836
Timor-Leste,1096747.8626544608
Maldives,302624.66239552613
Nepal,3.0574046485968392E7
Pakistan,2.210538270528118E8
India,1.3344543165196214E9
Iran  (Islamic Republic of),9.088295125821584E7
Sri Lanka,2.0778895832302313E7
Bhutan,857966.5379979741
Bangladesh,1.6205853418713707E8
Afghanistan,3.4231731613515794E7
Oman,3103543.150002759
Kuwait,3331446.576046233
Lebanon,5620773.660191692
Qatar,1881911.9520688439
Saudi Arabia,3.196325176066768E7
Turkey,9.225820199188778E7
Yemen,2.543961235656831E7
Iraq,3.7573510346722975E7
Jordan,8165763.075908466
Syrian Arab Republic,2.6985463218793906E7
Israel,8450283.857979886
Georgia,5150876.121831301
Cyprus,1378772.9675217075
Bahrain,1047755.7058335361
Azerbaijan,1.2034164311555484E7
Armenia,3864217.7546720025
United Arab Emirates,9213590.691076277
"Moldova, Republic of",5400081.592835781
Hungary,1.4719482442235798E7
Poland,6.231696506640065E7
Romania,2.9155921777220603E7
Ukraine,6.924286684821624E7
Belarus,1.6418053097312875E7
Czech Republic,1.621898961885126E7
Slovakia,8150021.38523503
Bulgaria,1.0275730597136619E7
Norway,9468522.394990245
Sweden,1.7816710846169554E7
Lithuania,5492705.718471908
Latvia,3801870.4322399916
Ireland,7445250.494847505
Iceland,703269.1670269974
U.K. of Great Britain and Northern Ireland,1.0287335236503656E8
Finland,1.1134384394714696E7
Estonia,2582888.0531137595
Svalbard and Jan Mayen Islands,10147.392700341168
Madeira Islands,317107.63297119475
Azores Islands,308982.32106152526
British Indian Ocean Territory,0.0
Guernsey,91833.40226196777
Jersey,143689.6056325127
Isle of Man,141158.94953682643
Holy See,1549.0216941648835
Greenland,75848.5884388452
Western Sahara,446403.2332067723
Gaza Strip,1664049.6977921098
West Bank,100320.39950550423
West Bank,3015333.66798927
Gibraltar,29373.14512151135
Saint Helena,5647.417096207353
Macau,435343.41475159745
Hong Kong,6252763.926545648
Abyei,13881.78730239419
Ilemi triangle,20461.885589844853
Hala'ib triangle,4693.755327977445
Ma'tan al-Sarra,0.0
Paracel Islands,465.2569598441907
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,1031.12179030478
Aksai Chin,6898.096744704078
Spratly Islands,0.0
Jammu and Kashmir,2.056417850844225E7
