country,PopChange_2010-2030
Montenegro,221066.98971874366
Serbia,3154912.1025358704
South Sudan,1.447121666274543E7
Sudan,3.2635569787686177E7
Taiwan,5286546.393815309
Cocos (Keeling) Islands,87.27569665995827
Christmas Island,2069.455054242221
Ashmore and Cartier Islands,0.0
Faroe Islands,14819.868068661575
Mayotte,201674.57275845658
Réunion,212428.8751286636
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,3506.242748298933
French Southern and Antarctic Territories,0.0
Denmark,1973032.8988178796
The former Yugoslav Republic of Macedonia,438348.90730362583
Croatia,1419218.1893843857
Malta,154284.19864908553
San Marino,6837.519217024571
Slovenia,506410.824911039
Greece,2058493.9318769844
Italy,1.0421773242948756E7
Portugal,2464079.7566372617
Spain,1.2996984250302821E7
Bosnia and Herzegovina,1801291.9796564688
Andorra,37690.17436584206
Albania,2085681.9740155204
Monaco,1285.276798157791
Netherlands,4159860.996141539
Luxembourg,315237.3636882076
Liechtenstein,13879.132346408294
France,1.85742096442246E7
Germany,2.0101615299142372E7
Switzerland,2309777.2286366094
Belgium,2445605.9983438677
Austria,2585135.388142266
Australia,1779471.7671804496
Palau,9631.658634486113
Canada,5648835.458480677
Canada,411651.05362568324
Canada,55926.63845825121
Mozambique,2.451043296150884E7
Mauritius,290263.7907220338
Malawi,1.3679990515813958E7
Rwanda,9525559.99776283
Somalia,1.2825239811421715E7
Zambia,1.2577604153067581E7
Kenya,4.8503228998459235E7
Madagascar,2.0374599302878916E7
Seychelles,19782.005362033175
United Republic of Tanzania,4.811450741641984E7
Uganda,3.695743264135046E7
Zimbabwe,1.3606446522704434E7
Ethiopia,1.1792592163144863E8
Eritrea,2251800.464434233
Djibouti,503972.85696750623
Comoros,305887.2597280462
Burundi,1.070426276678672E7
Gabon,1213737.3439278167
Equatorial Guinea,1721817.983422472
Chad,1.1625906462891374E7
Sao Tome and Principe,83756.37101232716
Congo,5282589.174672776
Democratic Republic of the Congo,6.81593798795309E7
Cameroon,1.5275301551170832E7
Central African Republic,2474176.84903961
Angola,3.3890494185728066E7
Morocco,1.081439456253788E7
Libya,2195108.590476835
Tunisia,3616410.3996338686
Egypt,5.0534496456021965E7
Algeria,1.736001210357974E7
Namibia,1857864.6964015812
Swaziland,1230892.2238469622
Lesotho,1408435.0016586268
South Africa,2.530054003968733E7
Botswana,1027305.2313357807
Togo,4467888.719620703
Sierra Leone,3730278.2053406606
Senegal,8905975.09497992
Nigeria,1.0879542506026262E8
Niger,1.9806971871004596E7
Mauritania,3916125.163393261
Mali,1.3902369965887066E7
Liberia,2442061.002678374
Guinea-Bissau,949997.4768280654
Gambia,1460051.82420241
Guinea,7335436.036285758
Ghana,1.5048883174998285E7
Cape Verde,388541.1457195943
Côte d'Ivoire,1.3704646233078908E7
Burkina Faso,1.6982738582402714E7
Benin,7092900.394674171
Brazil,3.643757350288079E7
Turkmenistan,2280716.137285778
Uzbekistan,1.301363784355809E7
Tajikistan,5086760.865658766
Kyrgyzstan,2750336.217362973
Kazakhstan,9360449.435397657
Mongolia,1834291.7097371423
Republic of Korea,1.2912332754941974E7
Dem People's Rep of Korea,9398046.635727324
China,7.391130659918411E8
Myanmar,2.0929208026606273E7
Cambodia,1.3907373405766033E7
Viet Nam,3.980451751641709E7
Lao People's Democratic Republic,3996817.878752199
Malaysia,1.1246869835709507E7
Thailand,3.739791058823818E7
Brunei Darussalam,127737.43630668893
Philippines,4.968595106847426E7
Indonesia,7.558516415814798E7
Singapore,2160930.391628177
Timor-Leste,637277.3878408548
Maldives,131557.17599433387
Nepal,2.4452835280015938E7
Pakistan,1.2595210787873259E8
India,6.625565302929059E8
Iran  (Islamic Republic of),2.753160358965272E7
Sri Lanka,1.303808661970152E7
Bhutan,566496.8514173235
Bangladesh,8.533616074078387E7
Afghanistan,3.2064475665488884E7
Oman,3383158.914248033
Kuwait,1909546.1646644208
Lebanon,1556895.7623355382
Qatar,1450207.3890715898
Saudi Arabia,1.722187194628334E7
Turkey,3.1204211524783105E7
Yemen,1.7113716394626953E7
Iraq,2.605149262272391E7
Jordan,6074711.1789453775
Syrian Arab Republic,1.0410643270292643E7
Israel,3282421.003773322
Georgia,1029467.9729272673
Cyprus,315784.05703909363
Bahrain,804914.8800705925
Azerbaijan,3085986.5865420145
Armenia,517264.0189479658
United Arab Emirates,5219918.670683459
"Moldova, Republic of",1255804.8037298517
Hungary,2626317.9172243443
Poland,1.2614773230500165E7
Romania,5811842.769358881
Ukraine,1.6611199723912999E7
Belarus,3757117.3270648476
Czech Republic,3299773.5211634017
Slovakia,1338037.7898007985
Bulgaria,2678579.609376489
Norway,2142023.468969971
Sweden,4069981.3070302345
Lithuania,1536687.529149649
Latvia,925497.9322389937
Ireland,1800751.8863432193
Iceland,171580.1253107777
U.K. of Great Britain and Northern Ireland,1.4543550442209953E7
Finland,1986454.4225017733
Estonia,735337.4344646479
Svalbard and Jan Mayen Islands,4993.793044557291
Madeira Islands,70666.95896052994
Azores Islands,49466.78693002846
British Indian Ocean Territory,0.0
Guernsey,7909.917623027373
Jersey,34740.0180051406
Isle of Man,30436.361984336632
Holy See,89.99764478889239
Greenland,12505.34869727462
Western Sahara,270729.0172438354
Gaza Strip,988940.7567805086
West Bank,47937.50256250981
West Bank,1670296.6245933024
Gibraltar,1816.394242380655
Saint Helena,1111.002388777299
Macau,188958.696271301
Hong Kong,977641.5615377225
Abyei,28531.595577145676
Ilemi triangle,11971.81488415994
Hala'ib triangle,2644.2598746621134
Ma'tan al-Sarra,0.0
Paracel Islands,160.87603986437855
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,346.7866583056748
Aksai Chin,2811.2546862137233
Spratly Islands,0.0
Jammu and Kashmir,1.0552558114541683E7
Arunachal Pradesh,567299.0859714665
Norfolk Island,748.0921343886996
