country,PopChange_2010-2020
Montenegro,139193.25874952812
Serbia,1862495.2562594963
South Sudan,9617105.188056927
Sudan,2.0633548121694814E7
Taiwan,3099937.283091323
Cocos (Keeling) Islands,39.715757771068276
Christmas Island,969.4527114403679
Ashmore and Cartier Islands,0.0
Faroe Islands,9320.766414254957
Mayotte,97029.85275713506
Réunion,146234.5721836748
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,1635.188960782592
French Southern and Antarctic Territories,0.0
Denmark,1013527.7943833662
The former Yugoslav Republic of Macedonia,300615.556094064
Croatia,730012.7051296288
Malta,120361.94291694346
San Marino,3612.278207830757
Slovenia,248928.6767404378
Greece,1066263.355692875
Italy,6358367.167711983
Portugal,1295012.9285148971
Spain,8417255.748413365
Bosnia and Herzegovina,1061818.7574898065
Andorra,18462.977168973677
Albania,1034483.0655003872
Monaco,1067.5356476626303
Netherlands,2349505.2977941716
Luxembourg,195195.46455597747
Liechtenstein,8383.425976102579
France,9881274.423596086
Germany,1.1442667717701675E7
Switzerland,1352837.087614049
Belgium,1501172.855091884
Austria,1416568.4397498851
Australia,1051925.6339426907
Palau,7159.024989506123
Canada,3056838.650175725
Canada,239584.39861946585
Canada,38065.59331822187
Mozambique,1.3244748861272655E7
Mauritius,192586.94631853508
Malawi,7373717.659997213
Rwanda,5661100.692637286
Somalia,8512619.878936078
Zambia,6165985.081425181
Kenya,3.173199399369034E7
Madagascar,1.0054846175588202E7
Seychelles,13026.885202401809
United Republic of Tanzania,2.601391937618786E7
Uganda,2.027491916193217E7
Zimbabwe,9191117.950687442
Ethiopia,7.991629414595948E7
Eritrea,1612244.7174631206
Djibouti,333729.6241596678
Comoros,151000.18648304956
Burundi,6350724.878540067
Gabon,709867.2954394503
Equatorial Guinea,1315445.6035360033
Chad,6088540.932343135
Sao Tome and Principe,38520.3824722298
Congo,2748875.5653068754
Democratic Republic of the Congo,3.3090254061531756E7
Cameroon,7741755.144308065
Central African Republic,823000.7175110666
Angola,1.8890616764619544E7
Morocco,6391042.1276836265
Libya,1813450.5544983228
Tunisia,2112166.415274272
Egypt,2.8260330245660786E7
Algeria,9693186.32572657
Namibia,1119965.9806058125
Swaziland,887308.377070034
Lesotho,968286.0786227848
South Africa,1.6177068646355785E7
Botswana,544173.2395702207
Togo,2334145.420677101
Sierra Leone,1867424.5743294673
Senegal,4189479.3880319777
Nigeria,5.390644029493627E7
Niger,9455421.290439535
Mauritania,2387246.1060201204
Mali,6272522.036949514
Liberia,1232991.37580224
Guinea-Bissau,469986.19868487265
Gambia,687582.3098049044
Guinea,3510165.0252725612
Ghana,8064587.47280753
Cape Verde,211190.89752505365
Côte d'Ivoire,6480094.9406505395
Burkina Faso,9853068.522736534
Benin,3380125.597626992
Brazil,2.2593524674753696E7
Turkmenistan,1301653.7612643903
Uzbekistan,6970967.410752548
Tajikistan,2653119.43303614
Kyrgyzstan,1450142.51375023
Kazakhstan,5514646.538645162
Mongolia,1067237.2179963267
Republic of Korea,8747159.36835367
Dem People's Rep of Korea,7031050.639860189
China,4.795720603748321E8
Myanmar,1.253913968724577E7
Cambodia,5841935.695577596
Viet Nam,2.3493488626070168E7
Lao People's Democratic Republic,2458427.18845397
Malaysia,6902902.250241292
Thailand,1.9944156504419215E7
Brunei Darussalam,85454.99137304611
Philippines,2.731117646717467E7
Indonesia,3.8130089647997335E7
Singapore,963887.0467091989
Timor-Leste,354621.14934632054
Maldives,121320.73525108631
Nepal,1.5501914602878155E7
Pakistan,7.441911071505307E7
India,4.1784602309593046E8
Iran  (Islamic Republic of),1.9089821705855202E7
Sri Lanka,9322603.475425335
Bhutan,356074.41262012266
Bangladesh,4.933741688140079E7
Afghanistan,1.736573504022134E7
Oman,2143969.9480629168
Kuwait,1611155.6514553137
Lebanon,977374.591187421
Qatar,1265137.4225238604
Saudi Arabia,1.193792000925676E7
Turkey,1.9301416416353207E7
Yemen,9435270.30266751
Iraq,1.3649644513414592E7
Jordan,4723376.590373677
Syrian Arab Republic,4479430.80801745
Israel,1695887.2484881033
Georgia,617325.7400642793
Cyprus,207921.69736822345
Bahrain,568847.1285631942
Azerbaijan,1955217.642647678
Armenia,386663.75708038715
United Arab Emirates,4142041.947222935
"Moldova, Republic of",1004675.3105656382
Hungary,1452225.670401644
Poland,7509686.503370384
Romania,3471777.0701095485
Ukraine,6958843.995401742
Belarus,2379532.283516319
Czech Republic,1830667.1210420048
Slovakia,826237.8531900224
Bulgaria,1469923.364764331
Norway,1244874.071373608
Sweden,2413807.192199613
Lithuania,874448.3681707808
Latvia,472619.94710321375
Ireland,1015893.8798943171
Iceland,113180.63525212089
U.K. of Great Britain and Northern Ireland,8561413.869854013
Finland,1242685.2004616647
Estonia,500061.9273528226
Svalbard and Jan Mayen Islands,2578.6775399245466
Madeira Islands,44427.96955887175
Azores Islands,23820.61346371948
British Indian Ocean Territory,0.0
Guernsey,5299.449259423489
Jersey,18383.51000954891
Isle of Man,16229.104042586423
Holy See,119.75459811586664
Greenland,8373.510854394912
Western Sahara,155821.25014069155
Gaza Strip,443949.45969295094
West Bank,21179.53650870511
West Bank,770606.4160969012
Gibraltar,1515.5856432606954
Saint Helena,412.65505577540216
Macau,123798.63533592838
Hong Kong,637667.0855888258
Abyei,22157.099138922742
Ilemi triangle,7229.715068867472
Hala'ib triangle,1719.2006749314278
Ma'tan al-Sarra,0.0
Paracel Islands,164.85884170391247
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,256.3241726048291
Aksai Chin,2519.208412560667
Spratly Islands,0.0
Jammu and Kashmir,6902227.179386407
Arunachal Pradesh,370884.9805144445
Norfolk Island,352.0165584237461
Wallis and Futuna,1537.2982610665044
French Polynesia,27034.921501898447
New Zealand,1467621.5228110559
Australia,1922606.4277142715
Australia,3057180.84526472
Papua New Guinea,2315874.941471472
Vanuatu,66729.55690406487
Solomon Islands,156528.33184060088
Fiji,205049.0882108757
Marshall Islands,9217.611913127681
Nauru,2864.8039519639356
Micronesia (Federated States of),14617.737085582488
Kiribati,34702.0076123597
Samoa,21288.676110732693
Tonga,7971.063879263846
Tuvalu,3734.099810295683
Canada,491.33105192929867
Canada,884404.0095810972
Canada,113821.14869219033
Canada,1898156.0084489742
Canada,255643.80925605912
Canada,5671.270302416165
Canada,5373.7660923641715
United States of America,1.416408734281279E7
United States of America,1.290925708885847E7
United States of America,1423449.406788816
Japan,1.3544574956121365E7
Russian Federation,3.0059993695806734E7
Cook Islands,5834.79455797919
Niue,789.0665203772264
Northern Mariana Islands,4850.813874338167
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,68548.46219190727
Tokelau,370.12974437669504
Guam,14291.326023346148
American Samoa,9936.451657211377
Kuril islands,8909.480654340396
Martinique,53463.70246214897
Guadeloupe,59376.946162061635
Clipperton Island,0.0
Dominica,16309.274421919783
Dominican Republic,4096172.154888157
Antigua and Barbuda,25078.433427092248
Cuba,1402844.2079093985
Grenada,20235.81439288297
Jamaica,534484.8996592035
Saint Kitts and Nevis,11383.929298925663
Trinidad and Tobago,211914.64768913377
Bahamas,68712.04705298289
Saint Lucia,41359.89061984553
Saint Vincent and the Grenadines,28996.103451988965
Barbados,89857.81503436207
Haiti,3912853.590852892
Panama,1074162.9679156137
El Salvador,1435932.7177542623
Nicaragua,1503725.9026721127
Mexico,2.666143378288575E7
Honduras,3958322.934510213
Guatemala,4625906.898876214
Costa Rica,1076386.1212173405
Belize,130537.68322278495
United States of America,5041436.343844925
United States of America,1.0176549905197654E7
Colombia,8724585.093253309
Guyana,96344.20122619852
Ecuador,2707193.474238926
French Guiana,64942.15040707266
Paraguay,1848342.6871629835
Suriname,113806.2750992959
Uruguay,343573.57778014883
Venezuela,3525847.807052042
Peru,4904454.877910504
Chile,3521780.33447345
Bolivia,2555690.778976861
Netherlands Antilles,83010.7271045308
Navassa Island,0.0
Puerto Rico,758157.254383054
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,18685.786605989462
Pitcairn,2.7445383091256312
Cayman Islands,17088.629638721526
Montserrat,1512.6423060809807
Turks and Caicos islands,53627.798235375696
British Virgin Islands,4382.646117640206
Anguilla,5486.553683021275
Bermuda,3004.2134260632147
United States Virgin Islands,21602.33307031613
Falkland Islands (Malvinas),2018.739514596746
South Georgia and the South Sandwich Islands,0.0
Argentina,5594754.558026263
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
