country,PopChange_2020-2030
Montenegro,96714.73979538778
Serbia,1720321.5276117416
South Sudan,7791762.859290911
Sudan,1.3898984433188181E7
Taiwan,2579297.894447399
Cocos (Keeling) Islands,47.73360458729406
Christmas Island,1100.0023428018533
Ashmore and Cartier Islands,0.0
Faroe Islands,6181.510351173485
Mayotte,104799.93100543783
Réunion,90103.36643611481
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,1906.8258502654367
French Southern and Antarctic Territories,0.0
Denmark,1160023.3985653121
The former Yugoslav Republic of Macedonia,215730.53916475718
Croatia,829415.4758138581
Malta,37771.964167882674
San Marino,6374.28698374824
Slovenia,340537.52124286
Greece,1165020.7340655273
Italy,4841856.006456717
Portugal,1333714.6089577167
Spain,5289264.930883046
Bosnia and Herzegovina,840852.7219552372
Andorra,23314.842714687235
Albania,1139343.821651702
Monaco,674.6093026754806
Netherlands,2285579.754002776
Luxembourg,144342.216926905
Liechtenstein,7574.678414206635
France,1.0740501056345403E7
Germany,1.1357054094232311E7
Switzerland,1143587.9331146032
Belgium,1407174.6845802304
Austria,1516232.0970567456
Australia,819808.8212497276
Palau,3467.0149595534526
Canada,2997426.2627986786
Canada,225593.52003062252
Canada,24278.147008961558
Mozambique,1.2789389415573344E7
Mauritius,132271.17089057728
Malawi,7339155.961486427
Rwanda,4557602.81022811
Somalia,5851044.580469091
Zambia,6940078.8374115275
Kenya,2.3072011812488448E7
Madagascar,1.1698622204762854E7
Seychelles,9024.564032269978
United Republic of Tanzania,2.505420166431016E7
Uganda,1.9731955246861503E7
Zimbabwe,6525847.227225199
Ethiopia,4.8852123519092865E7
Eritrea,823211.5423219568
Djibouti,207226.39806588838
Comoros,154889.36384402783
Burundi,5234717.987369273
Gabon,531113.592188613
Equatorial Guinea,417526.84033360134
Chad,6002681.395620179
Sao Tome and Principe,46229.095140485435
Congo,2734000.607826855
Democratic Republic of the Congo,3.681985887691104E7
Cameroon,7703893.755516839
Central African Republic,1763924.9380417606
Angola,1.6491011901456885E7
Morocco,5350200.2196723735
Libya,911687.5184573266
Tunisia,1698516.7299960596
Egypt,2.4111021340557467E7
Algeria,8030567.929301435
Namibia,988957.206098775
Swaziland,556509.3632777586
Lesotho,580114.5998661671
South Africa,1.1137489148115538E7
Botswana,493702.95974681684
Togo,2355808.196137967
Sierra Leone,1982796.773770041
Senegal,4852036.47360592
Nigeria,5.8293325749325715E7
Niger,1.1179822060286302E7
Mauritania,1763258.5962149948
Mali,7818415.094295563
Liberia,1294970.1347589733
Guinea-Bissau,485089.4330660164
Gambia,800981.6672856251
Guinea,4278475.36353981
Ghana,7636859.448466763
Cape Verde,229162.76876984327
Côte d'Ivoire,7673787.082172563
Burkina Faso,8288783.202690673
Benin,3879777.7409420367
Brazil,1.686688777252499E7
Turkmenistan,1029340.7113072556
Uzbekistan,6294482.442358716
Tajikistan,2495131.9825990032
Kyrgyzstan,1365113.6027601627
Kazakhstan,4201601.875134965
Mongolia,780581.8392026627
Republic of Korea,5981585.412135616
Dem People's Rep of Korea,3277047.588449208
China,3.5796737379064214E8
Myanmar,1.0464973321824124E7
Cambodia,9585914.294951288
Viet Nam,2.112359985747604E7
Lao People's Democratic Republic,1994842.5915119478
Malaysia,4984399.299859818
Thailand,1.963861261779311E7
