country,Population2030
Montenegro,816872.8394363412
Serbia,1.187392402354701E7
South Sudan,1.2620716870471004E7
Sudan,5.9006252684666246E7
Taiwan,2.6063888914545797E7
Cocos (Keeling) Islands,469.5443920540687
Christmas Island,4167.918363912523
Ashmore and Cartier Islands,0.0
Faroe Islands,111280.04325377717
Mayotte,421232.55093468504
Réunion,1101993.2689123133
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,7809.999952321053
French Southern and Antarctic Territories,0.0
Denmark,1.0667365842991792E7
The former Yugoslav Republic of Macedonia,2777763.7434570338
Croatia,5373259.626972071
Malta,662365.5124590211
San Marino,42972.266935621985
Slovenia,3010013.654332263
Greece,1.2304112897296874E7
Italy,7.841832923031127E7
Portugal,1.241771320074582E7
Spain,6.0175625112985745E7
Bosnia and Herzegovina,4341398.650955892
Andorra,108219.67673444343
Albania,3697570.3043581094
Monaco,12611.461794793224
Netherlands,2.900617134511236E7
Luxembourg,1083078.8380346335
Liechtenstein,58884.141755988
France,9.574473663114804E7
Germany,1.311033277315195E8
Switzerland,1.340740776403358E7
Belgium,1.8794566614199705E7
Austria,1.3485602128978271E7
Australia,6428661.163366642
Palau,17032.918387874237
Canada,3.392338637015683E7
Canada,3357154.076451121
Canada,750025.8246276446
Mozambique,4.3087777880084135E7
Mauritius,1386426.9179429787
Malawi,2.577991804757799E7
Rwanda,1.6378222467948586E7
Somalia,2.23932799006326E7
Zambia,2.5376163304458365E7
Kenya,6.324714899703072E7
Madagascar,3.77527139200019E7
Seychelles,107713.35635844745
United Republic of Tanzania,8.224191732400386E7
Uganda,5.848551846417566E7
Zimbabwe,2.0246303193731166E7
Ethiopia,1.5115924647520393E8
Eritrea,4400419.200732758
Djibouti,1269117.4392148922
Comoros,965464.5703663027
Burundi,1.5815286720563123E7
Gabon,2755956.234046762
Equatorial Guinea,1987946.7331016436
Chad,2.2867796514443167E7
Sao Tome and Principe,265037.1956813713
Congo,7037027.537230426
Democratic Republic of the Congo,1.2843785814157765E8
Cameroon,3.41650234257837E7
Central African Republic,7131464.513463051
Angola,4.578371948175476E7
Morocco,4.806991805617454E7
Libya,8718331.226516426
Tunisia,1.6140899935814032E7
Egypt,1.4373009563866556E8
Algeria,6.112201575025348E7
Namibia,3129644.5966447364
Swaziland,1457405.9302733121
