country,Population2020
Monaco,18120.63
Seychelles,103157.78
Zimbabwe,17473655.07
Gabon,2280698.34
Equatorial Guinea,1593243.16
Chad,17285876.70
Sao Tome and Principe,219906.86
Congo,5674911.03
Democratic Republic of the Congo,93918897.77
Cameroon,26742796.49
Central African Republic,5404466.02
Swaziland,1474837.53
Togo,8506927.59
Sierra Leone,8402797.96
Senegal,17537655.60
Nigeria,213442467.52
Niger,25761921.88
Mauritania,4917254.29
Mali,22430863.08
Liberia,5147349.09
Guinea-Bissau,2106578.14
Gambia,2753131.11
Guinea,13609961.05
Ghana,32759610.39
Cape Verde,586906.47
Côte d'Ivoire,27188386.19
Burkina Faso,22534534.54
Benin,12900700.01
Malaysia,32863977.93
Taiwan,23458368.10
Denmark,5723783.24
Greece,10028870.22
Albania,2860019.23
Liechtenstein,37792.06
Republic of Korea,50430696.47
Dem People's Rep of Korea,25417703.86
China,1414934044.22
Cambodia,16183283.45
Thailand,71258631.94
Indonesia,265831070.72
Singapore,5774352.18
Georgia,3758305.38
Cyprus,1232856.21
Belarus,9654093.74
Estonia,1334119.81
Hong Kong,6165438.59
Japan,122072309.44
Lesotho,2241889.76
Mongolia,3300956.74
Bulgaria,6933439.21
Croatia,4026532.61
Spain,46413992.76
Germany,83357791.05
Azerbaijan,10209317.82
Armenia,2801507.87
Poland,38456064.47
Montenegro,607905.41
Malta,507764.72
Netherlands,17362890.26
Belgium,11570029.38
Austria,8917072.13
Morocco,36596649.16
Libya,6631086.11
Tunisia,12141187.64
Egypt,107030830.15
Algeria,43353137.95
Iran  (Islamic Republic of),86985099.20
Oman,4448448.72
Kuwait,4287622.42
Lebanon,5287975.33
Qatar,2730908.58
Saudi Arabia,35675000.34
Yemen,32028278.45
Iraq,42425562.99
Jordan,10891879.61
Syrian Arab Republic,20505929.12
Israel,8532886.33
Bahrain,1021487.72
United Arab Emirates,9131814.99
Romania,19441019.04
Lithuania,2819619.75
Iceland,353368.04
U.K. of Great Britain and Northern Ireland,66597041.79
Finland,5445062.59
Italy,59080834.27
Luxembourg,634001.25
Switzerland,8636928.32
Austria,8917135.30
Kazakhstan,18999337.13
"Moldova, Republic of",3077947.21
Hungary,9745864.21
Ireland,4887132.65
