,Category,Count,Population2010,popChangein2010_2030,c3UrbanPopChange_2010_2030,c2UrbanPopChange_2010_2030,c1UrbanPopChange_2010_2030
0,East Asia & Pacific,38,2536395794,639141009,297743767,60359287,9006487
1,Europe & Central Asia,52,1307420098,163309278,81234908,9353267,1496373
2,Latin America & Caribbean,37,626465885,142587089,79236331,9989884,1218549
3,Middle East & North Africa,21,462544746,192228254,130932545,17211134,1061033
4,North America,3,445623313,74223003,37934944,5931733,916335
5,South Asia,8,1804311944,702424416,228361496,86081591,10789523
6,Sub-Saharan Africa,44,873423197,692274212,266117516,73609677,7415470
7,High income,79,1824976448,239244636,125657882,15312933,2056798
8,Low income,26,537037000,438991683,156134722,54611478,5608144
9,Lower middle income,46,2677163881,1166469562,445180486,130982760,15451542
10,Upper middle income,51,2987911301,757196755,391773350,61406851,8768180
