,Category,Count,Population2000,popChangein2000_2020,c3UrbanPopChange_2000_2020,c2UrbanPopChange_2000_2020,c1UrbanPopChange_2000_2020
0,East Asia & Pacific,38,2349060334,792463671,353715777,117047125,10237851
1,Europe & Central Asia,52,1274500165,207463086,100179359,21485831,1844432
2,Latin America & Caribbean,37,554596274,173851402,97692718,18643119,1555920
3,Middle East & North Africa,21,374483129,201288649,125158892,31711582,1125299
4,North America,3,404927406,92832848,40044303,11347010,2231511
5,South Asia,8,1526873132,719666348,245623275,96727089,10128092
6,Sub-Saharan Africa,44,666914187,593638574,192205502,94334711,5950415
7,High income,79,1732039654,314094065,152853878,35142850,3875379
8,Low income,26,403247245,364375829,110779827,59346323,4152223
9,Lower middle income,46,2243899947,1158896779,426935220,162064040,15173828
10,Upper middle income,51,2747412671,938266567,460681057,133927880,9833629
