,Category,Count,Population2010,popChangein2010_2020,c3UrbanPopChange_2010_2020,c2UrbanPopChange_2010_2020,c1UrbanPopChange_2010_2020
0,East Asia & Pacific,38,2536395794,417181670,201468334,31865958,4022968
1,Europe & Central Asia,52,1307420098,103107501,57648927,4686670,640679
2,Latin America & Caribbean,37,626465885,86529192,49518502,4166889,607374
3,Middle East & North Africa,21,462544746,109619216,75354152,8141725,549799
4,North America,3,445623313,43435105,23183626,2707857,427595
5,South Asia,8,1804311944,413452962,130877228,36793336,5659513
6,Sub-Saharan Africa,44,873423197,360619686,130128011,29354865,3543130
7,High income,79,1824976448,153310770,87398259,8075938,1007079
8,Low income,26,537037000,227372471,74214574,22307563,2806626
9,Lower middle income,46,2677163881,659508562,243902379,53670976,7602015
10,Upper middle income,51,2987911301,492109969,261531187,33596492,4028813
