,Category,Count,Population2000,popChangein2000_2020,UrbanPopulation2000,urbanPopChange2000_2020,UrbanPopulation_20YearLag2020,NonUrbanPopulation_20YearLag2020
0,East Asia & Pacific,38,2349060334,792463671,1418817717,282136666,201504467,55812237
1,Europe & Central Asia,52,1274500165,207463086,770044511,68450815,55622251,19074234
2,Latin America & Caribbean,37,554596274,173851402,382986496,111334997,38455660,5874787
3,Middle East & North Africa,21,374483129,201288649,268211664,161996465,52916528,4362054
4,North America,3,404927406,92832848,202939785,62658707,33686033,8858142
5,South Asia,8,1526873132,719666348,861457745,308596039,187835084,39271647
6,Sub-Saharan Africa,44,666914187,593638574,353974838,272575284,134235536,14933876
7,High income,79,1732039654,314094065,1056345143,147664474,90156963,25470425
8,Low income,26,403247245,364375829,218570533,155430701,82220211,10589985
9,Lower middle income,46,2243899947,1158896779,1280507499,550660853,297628259,54868620
10,Upper middle income,51,2747412671,938266567,1683186337,410456660,232679252,57087624
