,Category,Count,Population2010,popChangein2010_2030,UrbanPopulation2010,urbanPopChange2010_2030,UrbanPopulation_20YearLag2030,NonUrbanPopulation_20YearLag2030
0,East Asia & Pacific,38,2536395794,639141009,1567566817,172602494,133263866,58659380
1,Europe & Central Asia,52,1307420098,163309278,797270883,44475780,37278592,19253384
2,Latin America & Caribbean,37,626465885,142587089,444207568,87205017,26693797,5222026
3,Middle East & North Africa,21,462544746,192228254,347858726,152181189,35625920,4597820
4,North America,3,445623313,74223003,232395041,56568582,26651972,5904282
5,South Asia,8,1804311944,702424416,1053049062,269242708,185833319,42463100
6,Sub-Saharan Africa,44,873423197,692274212,480049028,340938313,124702822,19217651
7,High income,79,1824976448,239244636,1127903655,100815645,61280635,22936892
8,Low income,26,537037000,438991683,297482327,201680211,86541191,13886072
9,Lower middle income,46,2677163881,1166469562,1581448481,539339906,276864982,58672945
10,Upper middle income,51,2987911301,757196755,1891874155,278694608,144611610,59719128
