,category,Population2010,Population2010,Population2010,Population2010,UrbanPopulation2010,UrbanPopulation2010,UrbanPopulation2010,UrbanPopulation2010,UrbanPopulation_10YearLag2010,UrbanPopulation_10YearLag2010,UrbanPopulation_10YearLag2010,UrbanPopulation_10YearLag2010,UrbanPopulation_20YearLag2010,UrbanPopulation_20YearLag2010,UrbanPopulation_20YearLag2010,UrbanPopulation_20YearLag2010
,,count,mean,min,max,count,mean,min,max,count,mean,min,max,count,mean,min,max
0,East Asia & Pacific,22,102401329.04545455,9698,1608453908,22,61034231.90909091,4463,962596949,22,4794910.545454546,0,77691161,22,11291754.636363637,0,180676323
1,Europe & Central Asia,15,20424921.533333335,828914,92258202,15,13164043.933333334,533033,67930359,15,710850.1333333333,27119,3094998,15,1565143.4,43725,9010081
2,Latin America & Caribbean,23,25709563.782608695,69412,207854104,23,18264357.391304348,16509,149609837,23,813502.4347826086,0,4993623,23,1944915.1739130435,0,11484320
3,Middle East & North Africa,13,31003088.923076924,936649,100359815,13,23163021.46153846,820839,86457596,13,1576306.7692307692,23459,4552784,13,3493306.846153846,135146,9982339
4,South Asia,8,225538993.0,302625,1334454317,8,131631132.75,131200,779187551,8,11393753.5,4841,63902560,8,24518547.875,4841,140091317
5,Sub-Saharan Africa,43,20310079.06976744,182929,163033962,43,11163515.069767442,120476,112798705,43,1293560.2325581396,3341,13513397,43,2472367.3720930233,14888,23552818
6,Low income,26,20655269.230769232,1599563,90494009,26,11441627.961538462,753699,52439392,26,1267079.4615384615,58703,4501529,26,2501454.5384615385,124720,10052778
7,Lower middle income,46,58199214.80434783,100015,1334454317,46,34379314.80434783,16673,779187551,46,3077288.847826087,218,63902560,46,6538992.695652174,0,140091317
8,Upper middle income,51,58586496.09803922,9698,1608453908,51,37095571.666666664,4463,962596949,51,2479162.3333333335,0,77691161,51,5788601.098039215,0,180676323
