,Category,Count,Population2020,popChangein2020_2030,c3UrbanPopChange_2020_2030,c2UrbanPopChange_2020_2030,c1UrbanPopChange_2020_2030
0,East Asia & Pacific,38,2708440372,285567054,204433280,12183034,1878441
1,Europe & Central Asia,52,1352546981,74012332,42272127,1944267,161488
2,Latin America & Caribbean,37,691304291,64192236,43759835,2148665,32399
3,Middle East & North Africa,21,556547245,89625633,74458909,3066653,21234
4,North America,3,482277686,35729966,24025947,564298,25935
5,South Asia,8,2046947668,338271547,254875406,25893486,317654
6,Sub-Saharan Africa,44,1142832384,357663740,209446864,31211559,134964
7,High income,79,1908853592,105491935,64656992,2027770,165499
8,Low income,26,698043642,231061347,138360684,22699580,103183
9,Lower middle income,46,3113313604,574417829,412042201,40151605,575231
10,Upper middle income,51,3231828171,330448453,235244867,12057217,1728115
