,Category,Count,Population2000,popChangein2000_2020,c3UrbanPopChange_2000_2020,c2UrbanPopChange_2000_2020,c1UrbanPopChange_2000_2020
0,East Asia & Pacific,38,2349060334,792463671,533187580,108265248,3817752
1,Europe & Central Asia,52,1274500165,207463086,139732981,14254252,385738
2,Latin America & Caribbean,37,554596274,173851402,120868425,13747689,143983
3,Middle East & North Africa,21,374483129,201288649,157768276,19971052,61995
4,North America,3,404927406,92832848,67758093,4760930,49609
5,South Asia,8,1526873132,719666348,426732736,168861078,1125180
6,Sub-Saharan Africa,44,666914187,593638574,259269990,121249548,552126
7,High income,79,1732039654,314094065,220327518,20798778,416233
8,Low income,26,403247245,364375829,146592303,86943429,280789
9,Lower middle income,46,2243899947,1158896779,682421247,233172371,1681241
10,Upper middle income,51,2747412671,938266567,651527613,109779985,3757441
