,Category,Count,Population2010,popChangein2010_2030,c3UrbanPopChange_2010_2030,c2UrbanPopChange_2010_2030,c1UrbanPopChange_2010_2030
0,East Asia & Pacific,38,2536395794,639141009,432200025,67141256,4699377
1,Europe & Central Asia,52,1307420098,163309278,107595980,7369769,367914
2,Latin America & Caribbean,37,626465885,142587089,94753105,10758692,98838
3,Middle East & North Africa,21,462544746,192228254,154773718,14337681,58696
4,North America,3,445623313,74223003,55251699,1971653,43438
5,South Asia,8,1804311944,702424416,436767432,155564157,1080365
6,Sub-Saharan Africa,44,873423197,692274212,342638573,127156290,453261
7,High income,79,1824976448,239244636,166985472,8892607,405736
8,Low income,26,537037000,438991683,206540373,97861603,329410
9,Lower middle income,46,2677163881,1166469562,721019786,212884524,1644997
10,Upper middle income,51,2987911301,757196755,526056529,64489190,4421461
