,Category,Count,Population2010,popChangein2010_2030,UrbanPopulation2010,urbanPopChange2010_2030,UrbanPopulation_20YearLag2030,NonUrbanPopulation_20YearLag2030
0,East Asia & Pacific,38,2536395794,639141009,2089404747,207349616,116115726,29665843
1,Europe & Central Asia,52,1307420098,163309278,958325602,51027451,22438648,10226459
2,Latin America & Caribbean,37,626465885,142587089,489743206,98608591,22253473,1064788
3,Middle East & North Africa,21,462544746,192228254,391505634,167741413,26500505,697383
4,North America,3,445623313,74223003,321817873,56872157,8583997,1030064
5,South Asia,8,1804311944,702424416,1482633381,497661056,250116279,6187035
6,Sub-Saharan Africa,44,873423197,692274212,573147872,481202044,192703364,1901361
7,High income,79,1824976448,239244636,1382809976,102367405,27666097,10180101
8,Low income,26,537037000,438991683,352147575,306993688,142385110,1499301
9,Lower middle income,46,2677163881,1166469562,2141977477,835087467,349439576,9293727
10,Upper middle income,51,2987911301,757196755,2403867891,313035397,118766476,29791973
