,Category,Count,Population2010,popChangein2010_2020,c3UrbanPopChange_2010_2020,c2UrbanPopChange_2010_2020,c1UrbanPopChange_2010_2020
0,East Asia & Pacific,38,2536395794,417181670,286246898,37587144,1628492
1,Europe & Central Asia,52,1307420098,103107501,74925092,2854177,95429
2,Latin America & Caribbean,37,626465885,86529192,59120519,4155914,58724
3,Middle East & North Africa,21,462544746,109619216,89411673,6274901,36198
4,North America,3,445623313,43435105,34486332,775630,14327
5,South Asia,8,1804311944,413452962,252442053,80321782,702277
6,Sub-Saharan Africa,44,873423197,360619686,174024323,43787416,356797
7,High income,79,1824976448,153310770,115762098,4086747,126830
8,Low income,26,537037000,227372471,101888496,35242949,259388
9,Lower middle income,46,2677163881,659508562,404003114,99932371,946482
10,Upper middle income,51,2987911301,492109969,347633925,36455143,1559077
